game_id,halfmoves,move,eval
0,1,c1c2,-444
0,2,a4a3,0
0,3,c2c1,-467
0,4,b3b2,355
0,5,a1b2,-573
0,6,c4b3,508
0,7,C@a1,-589
0,8,C@a2,692
0,9,a1a2,-710
0,10,b3a2,838
0,11,b1c2,-892
0,12,a3b3,15265
1,1,c1c2,-610
1,2,a4a3,0
1,3,c2c1,-702
1,4,b3b2,693
1,5,a1b2,-166
1,6,c4b3,840
1,7,C@a1,-672
1,8,C@a2,939
1,9,c1c2,-416
1,10,a2a1,15265
1,11,b2a3,0
1,12,b4a3,0
1,13,c2b2,0
1,14,E@a4,0
1,15,b1a1,0
1,16,a3b4,0
1,17,b2b1,0
1,18,b3c2,0
1,19,b1c1,0
1,20,b4c3,0
1,21,C@b2,0
1,22,C@a3,0
1,23,G@c4,0
1,24,c3c4,0
1,25,c1c2,0
1,26,c4b4,0
1,27,a1b1,0
1,28,b4c4,0
1,29,c2c1,0
1,30,c4c3,0
1,31,c1c2,0
1,32,c3c4,0
1,33,c2c1,0
1,34,c4c3,0
1,35,c1c2,0
2,1,b2b3,-488
2,2,c4b3,0
2,3,c1c2,0
2,4,b3c2,0
2,5,b1c2,0
2,6,a4a3,0
2,7,c2b1,0
2,8,G@a2,0
2,9,a1b2,0
2,10,a2b2,0
2,11,b1b2,0
2,12,a3b3,0
2,13,b2b1,0
2,14,C@b2,0
2,15,b1c1,0
2,16,E@a2,0
2,17,E@c2,0
2,18,b4a3,0
2,19,C@a1,0
2,20,b3b4,0
2,21,G@c3,0
2,22,b4a4,0
2,23,c3c4,0
2,24,a2b3,0
2,25,c4c3,0
2,26,b3a2,0
2,27,c3c4,0
2,28,a2b3,0
2,29,c4c3,0
3,1,c1c2,0
3,2,a4a3,188
3,3,b2b3,0
3,4,c4b3,728
3,5,c2b2,-471
3,6,b4c3,898
3,7,b2b3,-786
3,8,a3b3,1044
3,9,E@b2,-1149
3,10,c3b4,1178
3,11,b2c1,-1149
3,12,b3c3,1048
3,13,c1b2,-1133
3,14,c3c4,1486
3,15,b1a2,-901
3,16,b4a4,15265
